domain,term,definition,source
N/A,Decommissioning costs,"Expenditures related to the disposal of an asset (e.g., the decommissioning of nuclear power stations, oil rigs, or the cleanup costs of landfill sites).",IMF
N/A,Deductible value added tax (VAT),"VAT Ipayable on purchases of goods or services intended for intermediate consumption, gross fixed capital formation, or for resale that a producer is permitted to deduct from his own VAT liability to the government in respect of VAT invoiced to his customers.",IMF
N/A,Deep-discount bonds,Debt securities that have small or no coupon payments and are issued at a considerable discount to their face value.,IMF
N/A,Defined benefit pension schemes,"Pension schemes where the benefits payable to an employee, or a self-employed person, on retirement are determined by an actuarial formula related to the participant’s length of service and income, either alone or as a minimum amount payable.",IMF
N/A,Defined contribution pension schemes,"Pension schemes where the benefits payable to an employee, or a self-employed person, on retirement are defined exclusively in terms of the level of the funds built up from the contributions made over the working life and the increases in value that result from the investment of these funds by the manager of the scheme.",IMF
N/A,Degradation,"Changes in the capacity of environmental assets to deliver a broad range of ecosystem services and the extent to which this capacity may be reduced through the action of economic units, including households.",IMF
N/A,Depletion,"In physical terms, the decrease in the quantity of the stock of a nonproduced natural resource over an accounting period that is due to the extraction of the natural resource by economic units occurring at a level greater than that of its growth. In monetary terms, it corresponds with the decline in future economic benefits, due to extraction in excess of its growth, that can be earned from a resource, the value of which is based on the physical flows of depletion using the price of the natural resource in situ.",IMF
N/A,Deposit-taking corporations except central bank,"Institutional units principally engaged in financial intermediation, whose business is to receive deposits and close substitutes for deposits from institutional units and, on their own account, to extend credit and make investments in other financial instruments.",IMF
N/A,Depository corporations (relevant for MFS),Financial corporations that issue liabilities included in broad money.,IMF
N/A,Depository receipts,Financial instruments that allow a nonresident institutional unit to introduce its equity or debt into another market in a form more readily acceptable to the investors in that market. Depository receipts are classified according to the underlying financial instruments backing them.,IMF
N/A,Deposits,"Nonnegotiable contracts that represent the placements of funds available for later withdrawal. They are claims on the central bank; other deposit-taking corporations; other financial corporations; and, in some cases, other institutional units.",IMF
N/A,Depreciation,"Decline, during the course of the accounting period, in the current value of the stock of fixed assets, including produced natural resources, owned and used by a producer as a result of physical deterioration, normal obsolescence, or normal accidental damage.",IMF
N/A,Depreciation profile,Profile for determining depreciation pattern of a nonfinancial asset used in production. One of the following two approaches is often applied: (i) geometric depreciation profile based on the efficiency and rentals of a fixed asset declining at a constant geometric rate from period to period (preferred approach); and (ii) a straight-line depreciation profile based on a constant annual amount of depreciation over the life of the asset.,IMF
N/A,Digital assets (designed to act as a medium of exchange or financial instrument),Digital representations of value recorded on a cryptographically secured distributed ledger or using a similar technology or issued by a central bank as CBDC.,IMF
N/A,Digital platforms,Platforms that facilitate interactions via the internet between two or more distinct but interdependent sets of users (either firms or individuals). Four types of digital platforms are distinguished: (i) nonfinancial digital intermediation platforms; (ii) free digital platforms; (iii) financial digital platforms; and (iv) other fee-based digital platforms.,IMF
N/A,Direct insurance,"Insurance where a policy is issued by an insurance corporation to another type of institutional unit, to be clearly distinguished from reinsurance. There are two main types of direct insurance: life insurance and non-life insurance.",IMF
N/A,Direct investment (relevant for BPM) / Foreign direct investment,Category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the voting power is evidence of a direct investment relationship.,IMF
N/A,Direct investment enterprise (relevant for BPM) / Foreign direct investment enterprise,"An enterprise in one economy subject to control or a significant degree of influence by a direct investor that is resident in another economy. Ownership of 10 percent or more of the voting power is evidence of a direct investment relationship. An exception is made for investment funds, which cannot be direct investment enterprises, as investments in negotiable investment funds shares/units are always treated as portfolio investment (when the shares are negotiable) or other investment (when the shares are nonnegotiable) or reserve assets if they meet all reserve assets criteria.",IMF
N/A,Direct investment income (relevant for BPM) / Foreign direct investment income,Investment income arising from direct investment positions between resident and nonresident institutional units.,IMF
N/A,Direct investment relationship (relevant for BPM) / Foreign direct investment relationship,A direct investment relationship arises when an investor resident in one economy makes an investment that gives control or a significant degree of influence on the management of an enterprise that is resident in another economy. All enterprises that are under the control or influence of the same direct investor are considered to be in a direct investment relationship with each other. Ownership of 10 percent or more of the voting power is evidence of a direct investment relationship.,IMF
N/A,Direct investor (relevant for BPM) / Foreign direct investor,An entity or group of related entities that is able to exercise control or a significant degree of influence over another entity that is resident in a different economy. Ownership of 10 percent or more of the voting power is evidence of a direct investment relationship.,IMF
N/A,Directional principle (relevant for BPM) / Directional basis (relevant for BPM),"Presentation of direct investment data based on the direction of control or influence, specifically distinguishing between direct investment abroad (outward direct investment) and direct investment in the reporting economy (inward direct investment). Direct investment according to the directional principle relates to the treatment of reverse direct investment and fellow enterprises.",IMF
N/A,Dirty price,Market price of a debt security that includes interest that has accrued but is not yet payable due to coupon.,IMF
N/A,Discount rate,"Rate used to determine the value of an asset, or liability, by discounting the future cash flows (receipts and payments).",IMF
N/A,Disposable income,Income available for final consumption expenditure or saving.,IMF
N/A,Disposable income adjusted for social transfers in kind / Adjusted disposable income,Income available for actual final consumption or saving. It is equal to disposable income plus social transfers in kind receivable and less social transfers in kind payable.,IMF
N/A,Distributable income of a corporation,Entrepreneurial income plus all current transfers receivable less all current transfers payable and less the adjustment for the change in pension and non-pension entitlements relating to the pension or other social insurance scheme of that corporation.,IMF
N/A,Distribution margin / Trade margin,Difference between the actual (or imputed) price realized on a good purchased for resale and the price that would have to be paid by the distributor to replace the good at the time it is sold or otherwise disposed of.,IMF
N/A,Distributive transactions,"Transactions covering how value added, generated by production, is distributed to labor, capital, and government and transactions involving the redistribution of income and wealth through taxes and other transfers.",IMF
N/A,Dividends,Earnings distributed to the owners of corporate equity for placing funds at the disposal of corporations.,IMF
N/A,Divisia money,Quantity index measuring the change of quantity of money between two time periods by assigning different weights to the growth rates of different money components according to the usefulness of each component for transaction purposes.,IMF
N/A,Dollarization,"Unilateral adoption of a foreign currency by third-party economies (e.g., US dollar or some other foreign currency) as legal tender.",IMF
N/A,Domestic currency / Local currency,"Legal tender in the economy that is issued by the monetary authority for that economy—that is, either that of an individual economy or, in a currency union, that of the common currency area to which the economy belongs.",IMF
N/A,Domestic economy / Total economy,The entire set of resident institutional units.,IMF
N/A,Domestic enterprise group / Local enterprise group,Parent corporation and the legal entities controlled by that parent that are resident in the reporting economy.,IMF
N/A,Double deflation,"Method whereby the volume estimates of gross value added are measured by subtracting the volume estimates of intermediate consumption from the volume estimates of output. This method is feasible only for volume estimates that are additive, such as those calculated using the Laspeyres formula (either fixed base or for estimates expressed in the previous year’s prices).",IMF
N/A,Due-for-payment basis of recording / Due-for-payment accounting,"Recording of flows at the time that the payments fall due or if a payment is made before it is due, when the cash payment is made.",IMF
N/A,Dwellings / Residential buildings,"Buildings, or designated parts of buildings, that are used entirely or primarily as residences, including any associated structures, such as garages, and all permanent fixtures customarily installed in residences.",IMF
N/A,Earned income,Income earned by institutional units as a consequence of their involvement in processes of production or ownership of assets that may be needed for the purposes of production.,IMF
N/A,Earned income account,Account that records income flows earned by institutional units as a consequence of their involvement in processes of production or ownership of assets that may be needed for the purposes of production.,IMF
N/A,Economic activities,"Activities covering the production and consumption of goods and services, distribution and redistribution of income, and accumulation of economic assets.",IMF
N/A,Economic appearance of assets,"Appearance of assets that is neither due to transactions nor due to holding gains and losses (revaluations). Examples relate to the recognition of produced assets, not previously recognized as assets; discoveries of natural resources; changes in the quality of land; the recognition of goodwill in the purchase of a corporation; and the initiation of contracts, leases, and licenses.",IMF
N/A,Economic benefits,"Gains arising from the economic activities of production, consumption, or accumulation.",IMF
N/A,Economic capital,"The stock of economic assets that are created through the direct involvement of economic units and that are under the control of an institutional unit, either individually or collectively.",IMF
N/A,Economic disappearance of assets and liabilities,"Disappearance of assets and liabilities that is neither due to transactions nor due to holding gains and losses (revaluations). Examples relate to the cancellation of contracts, leases, and licenses and the unilateral cancellation or write-offs of debt.",IMF
N/A,Economic owner,"The institutional unit that is entitled to claim the economic benefits associated with the use of goods, services, natural resources, and financial assets in the course of an economic activity and that is accepting the associated risks.",IMF
N/A,Economic territory,"A geographic area under the effective economic control of a single government or currency union or economic union. In its broadest sense, an economic territory can be any geographic area or jurisdiction for which statistics are required. For a country, it includes the land area, airspace, territorial waters, islands that belong to the territory, and territorial enclaves in the rest of the world.",IMF
N/A,Economic union,A group of economies established by means of an intergovernmental legal agreement among sovereign countries or jurisdictions with the intention of fostering greater economic integration.,IMF
N/A,Economically significant prices,Prices that have a significant effect on the amounts that producers are willing to supply and on the amounts purchasers wish to buy.,IMF
N/A,Ecosystem assets,Contiguous spaces of a specific ecosystem type characterized by a distinct set of biotic and abiotic components and their interactions. Ecosystem assets are not explicitly recognized as economic assets in the integrated framework of national accounts.,IMF
N/A,Education-related travel (relevant for BPM),"Tuition, food, accommodation, local transport, health services, and so on acquired by nonresident students.",IMF
N/A,Electric-powered transport equipment,Transport equipment powered by electricity without the use or backup of a fossil fuel–powered motor.,IMF
N/A,Electronic money,"Monetary value stored electronically, which represents a claim on the issuer. Electronic money must represent general purchasing power—that is, it should be widely used as a medium of exchange.",IMF
N/A,Financial instruments with embedded derivatives,"Financial instruments that contain a derivative feature, which is inseparable from the nonderivative components of the instrument.",IMF
N/A,Emission permits,"Permits to emit harmful substances into the atmosphere, land, or water. They are recorded as financial assets (other accounts receivable/payable), with the taxes on production recorded at surrender, valued at issuance prices.",IMF
N/A,Emissions,"Substances released to the environment by enterprises, households, the government, and other units as a result of production, consumption, and accumulation processes.",IMF
N/A,Employee stock options,"Options to buy the equity of a company at a discount to the market value, offered to employees of the company as a form of remuneration.",IMF
N/A,Employees,"Persons who, by agreement, work for a resident institutional unit and receive remuneration for their labor. A resident institutional unit may employ both resident and nonresident persons.",IMF
N/A,Employers’ social contributions,Actual and imputed social contributions payable by employers to social security funds and other social insurance schemes to secure social benefits for their employees.,IMF
N/A,Encumbered assets,"Assets that the holder is restricted or prevented from liquidating, selling, transferring, or assigning due to legal, regulatory, contractual, or other limitations.",IMF
N/A,Enterprise,"An institutional unit engaged in the production of goods and services. The term “enterprise” may refer to a corporation, a quasi-corporation, a nonprofit institution (NPI), or an unincorporated enterprise.",IMF
N/A,"Entertainment, literary or artistic originals","Original films, series, and other visual recordings; sound recordings; games; manuscripts; tapes; models; and so on, on which entertainment, literary and artistic output, and so on are recorded or embodied.",IMF
N/A,Entitlement to future goods and services on an exclusive basis,"Arrangements where one party, which has contracted to purchase goods or services at a fixed price at a time in the future, is able to transfer the obligation of the second party to the contract to a third party.",IMF
N/A,Entitlements to non-pension benefits / Entitlements to non-pension social insurance benefits,"Excess of social contributions less service charges over social benefits, representing an increase in the liability of a non-pension-related social insurance scheme toward the beneficiaries.",IMF
N/A,Entrepreneurial income,"Income earned by corporations from the production of goods and services plus property income receivable minus property income payable (excluding dividends, withdrawals of income of quasi-corporations, and reinvested earnings).",IMF
N/A,Environmental assets,"Naturally occurring living and nonliving components of the earth, together constituting the biophysical environment, which may provide benefits to humanity. In macroeconomic statistics, environmental assets are only recognized in as far as they meet the asset boundary applied in the integrated framework of the SNA by providing economic benefits to their owners, either individually or collectively.",IMF
N/A,Environmental protection activities,"Activities whose primary purpose is the prevention, reduction, and elimination of pollution and other forms of degradation of the environment.",IMF
N/A,Environmental specific services,Environmental protection and resource management services produced by economic units for sale or own use.,IMF
N/A,Environmental subsidies,"Subsidies intended to support activities that protect or restore the environment more generally, enhance the capability of ecosystems, or reduce the use and extraction of natural resources.",IMF
N/A,Environmental taxes,"Taxes whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.",IMF
N/A,Equity,"All instruments and records acknowledging ownership rights and claims on the residual value of a corporation or quasi-corporation after the claims of all creditors have been met. Ownership of equity is usually evidenced by shares, stocks, participations, depository receipts, or similar documents. ",IMF
N/A,Equity and investment fund shares/shares,Residual claims on the assets of the institutional units that issued the relevant instruments.,IMF
N/A,"ESG (environmental, social, and governance) debt securities","Debt securities where the use of proceeds is restricted to financing or refinancing activities or projects that improve the condition of the environment or society or governance practices or where the issuer agrees to achieve performance objectives that improve the condition of the environment or society or government practices. These include green debt securities, social debt securities, sustainability debt securities, sustainability-linked debt securities, and other ESG debt securities.",IMF
N/A,"ESG (environmental, social, and governance) equity",Equity investments by investors in institutional units in which 50 percent or more of the institutional unit’s revenue comes from activities that improve the condition of the environment or society or governance practices.,IMF
N/A,"ESG (environmental, social, and governance) finance",Finance for activities or projects that sustain or improve the condition of the environment or society or governance practices.,IMF
N/A,"ESG (environmental, social, and governance) investment fund shares/units","Shares or units in investment funds investing in financial instruments, companies, projects, or other funds that intend to achieve performance objectives that improve the condition of the environment or society or governance practices.",IMF
N/A,"ESG (environmental, social, and governance) loans","Loans in which 50 percent or more of the debtor’s activities improve the condition of the environment or society or governance practices. In case of business loans, the debtor’s activities would be reflected in the business’s revenue, while in case of loans to households, they would depend on the use of the loan proceeds.",IMF
N/A,Establishment / Local kind-of-activity unit,"Enterprise, or part of an enterprise, that is situated in a single location and in which only a single productive activity is carried out or in which the principal productive activity accounts for most of the value added (also known as local kind-of-activity unit).",IMF
N/A,"Estate, inheritance, and gift taxes (relevant for GFS)","Capital taxes on transfers of property at death and on gifts, including gifts made between living members of the same family to avoid, or minimize, the payment of inheritance taxes.",IMF
N/A,European options,Options where the buyer has the right to exercise the option only at the expiration of the contract.,IMF
N/A,Ex dividend,"The point at which the shares no longer carry the right to the most recently declared dividend. Thus, the dividend value becomes separated from the share price value, and the share price falls to reflect the value of the dividend payout.",IMF
N/A,Exceptional financing (relevant for BPM),Grouping together financial arrangements made by the authorities (or by other sectors fostered by the authorities) of an economy to meet balance-of-payments needs.,IMF
N/A,Exchange rate,Price of one country’s currency in relation to another country’s currency.,IMF
N/A,Exchange rate changes,All changes in value resulting from exposure to the effect of exchange rates. Part of revaluations along with other price changes.,IMF
N/A,Exchange values,"Values at which goods, services, labor, or assets are exchanged or else could be exchanged for cash. Exchange values, or market prices, are the basis for the valuation of transactions in macroeconomic statistics.",IMF
N/A,Excise duties / Excises,Taxes levied as a product-specific unit tax on a predefined limited range of goods.,IMF
N/A,Existing fixed assets,Nonfinancial assets whose value was included in the stock of fixed capital of at least one producer unit in the domestic economy at some earlier point in time.,IMF
N/A,Expenditures (relevant for SNA),Transactions that reduce the amount of economic value of a unit or sector.,IMF
N/A,Expenditures on goods and services,"Values of the amounts that buyers pay, or agree to pay, to sellers in exchange for goods or services that sellers provide to them or to other institutional units designated by the buyers.",IMF
N/A,Expense (relevant for GFS),A decrease in net worth resulting from a transaction.,IMF
N/A,Export subsidies,Subsidies on goods or services that are payable by the government when the goods leave the economic territory or when the services are delivered to nonresident units.,IMF
N/A,Export taxes,Taxes on goods or services that become payable to the government when the goods leave the economic territory or when the services are delivered to nonresidents.,IMF
N/A,Exports,Changes in the economic ownership of goods from residents of the compiling economy to nonresidents as well as services provided by residents of the compiling economy to nonresidents.,IMF
N/A,Exports of goods,Changes in the economic ownership of goods from residents of the compiling economy to nonresidents irrespective of the physical movement of goods across national borders.,IMF
N/A,Exports of services,Services provided by residents of the compiling economy to nonresidents.,IMF
N/A,Extended Balance of Payments Services Classification (EBOPS) (relevant for BPM),Breakdown of the balance-of-payments trade in services items by more detailed types of services.,IMF
N/A,Extension of capacity (relevant for BPM),Capital injections that are used to expand the capacity of direct investment enterprises that have existed for three years or more.,IMF
N/A,External accounts,Summary overview of the economic relationships between residents of an economy and nonresidents. They comprise three interconnected elements: (i) the international investment position; (ii) the balance of payments; and (iii) the other changes in financial assets and liabilities accounts.,IMF
N/A,External balance of international trade in goods and services,Difference between the exports and imports of goods and services.,IMF
N/A,External debt (relevant for BPM and External Debt Statistics),Liabilities that require payment(s) of interest and/or principal by the debtor at some point(s) in the future and that are owed to nonresidents by residents of an economy.,IMF
N/A,External sector statistics,"Datasets related to external accounts, including  balance of payments, integrated international investment position, external debt statistics, international reserves and foreign currency liquidity, direct investment positions by counterpart economy (collected through the Coordinated Direct Investment Survey), portfolio investment positions by counterpart economy (collected through the Coordinated Portfolio Investment Survey), and so on.",IMF
N/A,Extrabudgetary units,"General government units with individual budgets not fully covered by the main (or general) budget. These entities operate under the authority or control of a central, state, or local government. Extrabudgetary entities may have their own revenue sources, which may be supplemented by grants (transfers) from the general budget or from other sources.",IMF
N/A,Face value,"Valuation that reflects the undiscounted amount to be paid to the holder of a financial instrument at maturity, also known as “par value” or simply “par.”",IMF
N/A,Factoring,"Transaction in which a financial corporation (factor, which can be a bank, specialized factoring company, or other financial organization) buys trade accounts receivable from a supplier of goods and services at a discount. Two basic types of factoring are differentiated: recourse and nonrecourse factoring. In nonrecourse factoring, the factor assumes the full risk of nonpayment by the debtors at maturity and therefore charges the supplier a higher percentage of the receivables (“discount”) than in recourse factoring where all or part of the risk is kept by the supplier.",IMF
N/A,Factoryless goods producer,A principal that controls the production of a good by undertaking the entrepreneurial steps and providing the technical specifications required to produce the good but that outsources all or most of the material transformation process required to produce the output.,IMF
N/A,Fair value,"Valuation that reflects the market-equivalent value of an asset or liability. It is defined as the amount for which an asset could be exchanged, or a liability settled, between knowledgeable, willing parties in an arm’s length transaction.",IMF
N/A,Fellow enterprises,"Enterprises under the control or influence, either directly or indirectly, of the same direct investor but neither of the enterprises controls or influences the other enterprise.",IMF
N/A,Final consumption expenditure / Final consumption,"The amount of expenditure on consumption goods and services, whether individual or collective. Final consumption expenditure can be measured for households, the general government, the central bank, and NPISHs.I ",IMF
N/A,Finance lease / Financial lease,"Contract between a lessor and lessee, under which the lessor, as legal owner of an asset, substantially conveys the risks and rewards of ownership of the asset to the lessee. The lessee, therefore, becomes the economic owner of the asset. A finance lease involves imputing a loan.",IMF
N/A,Financial account,"Account that records all transactions in financial assets and liabilities. In external accounts, only transactions between residents and nonresidents are included.",IMF
N/A,Financial account balance (relevant for BPM),The difference between the net acquisition of financial assets and net incurrence of liabilities resulting from transactions between residents and nonresidents.,IMF
N/A,Financial assets,Financial claims and gold bullion held by monetary authorities as a reserve asset.,IMF
N/A,Financial auxiliaries,Financial corporations principally engaged in activities associated with transactions in financial assets and liabilities or with providing the regulatory context for these transactions but that do not involve the auxiliary taking ownership of the financial assets and liabilities being transacted.,IMF
N/A,Financial claims,"Financial instruments that give rise to an economic asset that has a counterpart liability, including shares and other equity in corporations.",IMF
N/A,Financial corporations / Financial institutions,Institutional units whose principal activity is the production of financial services.,IMF
N/A,Financial derivatives,"Financial instruments linked to another specific financial instrument, indicator, or commodity, through which specific risks (e.g., interest rate risk, foreign exchange risk, equity and commodity price risk, credit risk) can be traded in their own right.",IMF
N/A,Financial instruments,"The full range of financial contracts made between institutional units. They may be recorded on the balance sheet or off the balance sheet (e.g., constructive and contingent assets and liabilities).",IMF
N/A,Financial intermediaries,Financial corporations that incur liabilities on their own account for the purpose of acquiring financial assets by engaging in financial transactions on the market.,IMF
N/A,Financial intermediation,Productive activity in which an institutional unit incurs liabilities on its own account for the purpose of acquiring financial assets by engaging in financial transactions on the market.,IMF
N/A,Financial services,"Services related to financial intermediation, financial risk management, liquidity transformation, or auxiliary financial activities. It also includes insurance and pension-scheme services.",IMF
N/A,Financial services (excluding insurance and pensions),"Services related to financial intermediation, financial risk management, liquidity transformation, or auxiliary financial activities, excluding insurance and pension-scheme services.",IMF
N/A,Financial transactions,Net acquisition of financial assets or the net incurrence of liabilities for each type of financial instrument.,IMF
N/A,Fines and penalties,Compulsory payments imposed on institutional units by courts of law or quasi-judicial bodies.,IMF
N/A,Finished goods,Goods produced as outputs that their producer does not intend to process further before supplying them to other units.,IMF
N/A,Fintech,"Technology-enabled innovation in financial services that could result in new business models, applications, processes, or products with an associated material effect on the provision of financial services.",IMF
N/A,Fiscal monopolies,"Public corporations, public quasi-corporations, or government-owned unincorporated enterprises that have been granted a legal monopoly over the production or distribution of a particular kind of good or service to raise revenue and not to further the interests of public economic or social policy.",IMF
N/A,Fiscal policy,"Use of the level and composition of the general government and public sectors’ spending and revenue (related accumulation of government assets and liabilities) to achieve such goals as the stabilization of the economy, reallocation of resources, and redistribution of income.",IMF
N/A,Fisher’s Ideal Price Index,Geometric mean of the Laspeyres and Paasche price indices.,IMF
N/A,Fixed assets,Produced assets that are used repeatedly or continuously in production processes for more than one year.,IMF
N/A,Fixed assets (excluding produced natural resources),Produced assets that are used repeatedly or continuously in production processes for more than one year. Produced natural resources are excluded and grouped together with other natural resources.,IMF
N/A,Fixed-rate debt instruments,Debt instruments that are not variable-rate debt instruments (see also “variable-rate debt instruments”).,IMF
N/A,Flows / Economic flows,"Transactions and other flows reflecting the creation, transformation, exchange, transfer, or extinction of economic value; they typically involve changes in the volume, composition, or value of an institutional unit’s assets, liabilities, and net worth.",IMF
N/A,Foreign currency,Any currency other than the domestic currency.,IMF
N/A,Foreign currency forward,Contracts where two counterparties agree to transact in foreign currencies at an agreed exchange rate in a specified amount at an agreed future date.,IMF
N/A,Foreign currency swaps / Currency swaps,Arrangements that involve the spot sale/purchase of currencies with a simultaneous forward purchase/sale of the same currencies.,IMF
N/A,Foreign-controlled corporation,Corporation that is controlled by a nonresident unit and produces goods and services for the market.,IMF
N/A,Forfeits (relevant for GFS),Amounts deposited with a general government unit pending a legal or administrative proceeding and that have been transferred to the general government unit as part of the resolution of that proceeding,IMF
N/A,Forward contracts / Forward,Unconditional contracts by which two counterparties agree to buy or sell a specified quantity of an underlying item (financial or nonfinancial) at an agreed-upon contract price (the strike price) on a specified date. Forward contracts are traded over the counter.,IMF
N/A,Forward price,Price at which the underlying asset will be exchanged in a forward contract.,IMF
N/A,Forward rate agreements,"Arrangements in which two parties agree on an interest rate to be paid, at a specified settlement date, on a notional amount of principal that is never exchanged.",IMF
N/A,Forward-type contracts,"Forward, futures, and swaps.",IMF
N/A,Framework for Direct Investment Relationships (relevant for BPM),A generalized methodology for identifying and determining the extent and type of direct investment relationships.,IMF
N/A,Free-on-board basis,"Valuation basis where goods are valued at the exporter’s border—that is, including the cost of insurance and freight incurred up to the point of the goods leaving the economy of the exporter.",IMF
N/A,Freight services,Services related to the transport of objects other than people.,IMF
N/A,From-whom-to-whom framework,A matrix-type presentation in which the counterparts of a certain nonfinancial or financial transaction are cross-classified or the creditors of a certain financial asset position are cross-classified with the debtors of the relevant position.,IMF
N/A,Full-time equivalent labor input,"Number of full-time equivalent jobs, defined as total hours actually worked by all employed persons divided by the average number of hours actually worked in full-time jobs.",IMF
N/A,Functional categories in the external accounts,"Primary classification used for each of financial transactions, positions, and income in external accounts. Five functional categories of investment are distinguished in external accounts: (i) direct investment; (ii) portfolio investment; (iii) financial derivatives (other than reserves) and employee stock options; (iv) other investment; and (v) reserve assets. The functional categories are designed to facilitate analysis by distinguishing categories that exhibit different economic motivations and patterns of behavior.",IMF
N/A,Futures,"Forward-type contracts traded on organized exchanges, typically settled by the payment of cash rather than the delivery of the underlying asset, and are valued and traded separately from the underlying item.",IMF
N/A,General government,"Legal entities established by political processes that have legislative, judicial, or executive authority over other institutional units within a given area, principally engaged in nonmarket production intended for individual and collective consumption and in the redistribution of income and wealth by transfers, which is financed mainly by compulsory payments made by units belonging to other sectors. The general government sector consists of such institutional units at the central, state, and local level together with social security funds and nonmarket producers controlled by them.",IMF
N/A,General merchandise on a balance-of-payments basis / General merchandise trade,"Goods whose economic ownership is changed between a resident and nonresident and that are not included in the following specific categories: goods under merchanting; nonmonetary gold; and parts of travel, construction, and government goods and services n.i.e.",IMF
N/A,General taxes on goods and services (relevant for GFS),"Taxes levied on the production, leasing, delivery, sale, purchase, or other change of ownership of a wide range of goods and the provision of a wide range of services.",IMF
N/A,Gold bullion,"Coins, ingots, or bars with a purity of at least 995 parts per 1,000, including such gold held in allocated gold accounts. If held by a monetary authority as a reserve asset, gold bullion is treated, by convention, as a financial asset with no corresponding liability.",IMF
N/A,Gold loans / Gold lending / gold deposits,"The delivery of gold for a given time period, with an obligation to return an equivalent quantity of gold at the end of the period.",IMF
N/A,Gold swaps,Arrangements that involve the exchange of gold for foreign exchange with an agreement that the transaction be reversed at an agreed future date at an agreed gold price.,IMF
N/A,Goods,"Physical produced objects, over which ownership rights can be established and whose ownership can be transferred from one institutional unit to another by engaging in transactions on markets.",IMF
N/A,Goods and services account,"Account that records the total domestic output and imports of goods and services supplied as resources to the economy (including the value of taxes less subsidies on products not already included in the valuation of output) and the use of the same goods and services as intermediate consumption, final consumption, capital formation, and exports. In external accounts, the goods and services account only includes exports and imports of goods and services between residents and nonresidents.",IMF
N/A,Goods for resale,Goods acquired by enterprises such as wholesalers or retailers for the purpose of reselling or transferring them to other units without any further processing.,IMF
N/A,Goods on consignment,"Goods intended for sale, which are dispatched before they are sold.",IMF
N/A,Goodwill / Purchased goodwill,"The difference between the value paid for an enterprise as a going concern and the sum of its assets less the sum of its non-equity liabilities, where each item has been separately identified and valued.",IMF
N/A,Government goods and services n.i.e. (relevant for BPM),"The sum of (i) goods and services supplied by and to enclaves, such as embassies, military bases, and international organizations; (ii) goods and services acquired from the host economy by diplomats, consular staff, and military personnel located abroad and their dependents; and (iii) services supplied by and to governments and not included in other categories of services.",IMF
N/A,Government units,"Unique kinds of legal entities established by political processes that have legislative, judicial, or executive authority over other institutional units within a given area.",IMF
N/A,Grants (relevant for GFS),"Transfers receivable (payable) by government units, from (to) other resident or nonresident government units or international organizations, that do not meet the definition of a tax, subsidy, or social contribution.",IMF
N/A,Green debt securities,Debt securities where the use of proceeds is restricted to financing or refinancing activities or projects that improve the condition of the environment.,IMF
N/A,Green equity,Equity investments by investors in institutional units in which 50 percent or more of the institutional unit’s revenue comes from activities that improve the condition of the environment.,IMF
N/A,Green finance,Finance for activities or projects that sustain or improve the condition of the environment.,IMF
N/A,Green investment fund shares/units,"Shares or units in investment funds investing in financial instruments, companies, projects, or other funds that intend to achieve performance objectives that improve the condition of the environment.",IMF
N/A,Green loans,"Loans in which 50 percent or more of the debtor’s activities improve the condition of the environment. In case of business loans, the debtor’s activities would be reflected in the business’s revenue, while in case of loans to households, they would depend on the use of the loan proceeds.",IMF
N/A,Greenfield investment (relevant for BPM),Investments in direct investment enterprises established within the last three years.,IMF
N/A,Gross and net,"The term “net” has two key uses. The first being the terms “gross” and “net” in conjunction with the balancing items for each account by the institutional sector and the whole economy. In each case, the difference is depreciation and depletion of natural resources. Thus, gross value added, gross domestic product, gross disposable income, and so on each have a net equivalent. The second being the recording of financial transactions in the financial account. Transactions can be recorded on a “gross” or “net” basis. For example, the financial account is recorded on a net basis, as acquisitions less disposals of the relevant assets and liabilities.",IMF
N/A,Gross capital formation,"Acquisitions less disposals of produced assets for purposes of fixed capital formation, inventories, or valuables.",IMF
N/A,Gross domestic product,"Total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach; see the relevant terms.",IMF
N/A,"Gross domestic product, expenditure approach / Gross domestic expenditure",The sum of expenditure on final consumption plus gross capital formation plus exports less imports.,IMF
N/A,"Gross domestic product, income approach / Gross domestic income","Total income earned through the production of goods and services in the economy, consisting of remuneration of employees plus gross operating surplus plus gross mixed incomes plus taxes less subsidies on both production and imports.",IMF
N/A,"Gross domestic product, production approach / Gross domestic production",The value of total output less total intermediate consumption plus any taxes less subsidies on products not already included in the value of output.,IMF
N/A,Gross fixed capital formation,"Acquisitions less disposals of fixed assets during the accounting period, including certain specified expenditures on services that add to the value of nonproduced assets.",IMF
N/A,Gross national income,Total income earned by all the residents within an economic territory during an accounting period. It is equal to gross domestic product plus earned income receivable from abroad minus earned income payable abroad.,IMF
N/A,Gross recording,Recording of aggregations or combinations in which all elementary items are shown for their full values. See also “gross and net.”,IMF
N/A,Gross value added at basic prices,"Valuation of gross value added during an accounting period, which reflects the price of products receivable by the producer exclusive of taxes payable on products and inclusive of subsidies receivable on products, less intermediate consumption valued at purchasers’ prices.",IMF
