domain,term,definition,source
N/A,Bank interest (relevant for SNA) / Actual interest (relevant for BPM),"The actual interest that financial corporations charge for loans or provide for deposits—that is, before accounting for implicit financial services on loans and deposits.",IMF
N/A,Banker’s acceptances / Acceptances,"Negotiable orders (drafts or bills of exchange) to pay a specified amount of money on a future date, accepted and guaranteed by a financial corporation, in return for a fee.",IMF
N/A,Barter transaction / Barter,"Transaction where goods, services, or nonfinancial assets are exchanged for different goods, services, or nonfinancial assets without any accompanying monetary payment.",IMF
N/A,Base period,Reference period from which the weights are derived for the calculation of an index.,IMF
N/A,Basic price,Amount receivable by the producer from the purchaser for a unit of a good or service produced as output minus any tax payable and plus any subsidy receivable by the producer as a consequence of its production or sale. It excludes any transport charges invoiced separately by the producer.,IMF
N/A,Bermuda options,Contracts where the buyer has the right to exercise the option at the date of expiration and on certain specified dates during the life of the contract.,IMF
N/A,Bid price,Highest price that a buyer is willing to pay for a security or another asset.,IMF
N/A,Bills / Bills of exchange,Securities (usually short term) that give holders the unconditional rights to receive stated fixed sums on a specified date.,IMF
N/A,Binomial-tree model,"Options-pricing model in which it is assumed that, over any short period, a stock price will move to one of only two possible values.",IMF
N/A,Biological resources,"Animal resources and tree, crop, and plant resources yielding both once-only and repeat products over which ownership rights are enforced.",IMF
N/A,Biological resources yielding once-only products,"Animal resources and tree, crop, and plant resources yielding once-only products over which ownership rights are enforced.",IMF
N/A,Biological resources yielding repeat products,"Animal resources and tree, crop, and plant resources yielding repeat products over which ownership rights are enforced.",IMF
N/A,Black–Scholes options-pricing model,"Options-pricing model used to determine the fair price or theoretical value for a call or a put option based on volatility, type of option, underlying stock price, time, strike price, and risk-free rate.",IMF
N/A,Bonds and debentures,Debt securities that give holders the unconditional right to fixed payments or contractually determined variable payments on a specified date or dates.,IMF
N/A,Book value,"Valuation used in business accounts, generally referring to the value recorded in the enterprise’s records. Book values may have different meanings because their values are influenced by the timing of acquisition, company takeovers, frequency of revaluations, and tax and other regulations, including national practices.",IMF
N/A,Branches of nonresident corporation,"Resident unincorporated enterprises that fully belong to a nonresident unit, known as the parent, which undertakes the production of goods and services on a significant scale. It is treated as a resident quasi-corporation in the territory where it is situated.",IMF
N/A,Broad money,"Sum of all liquid financial instruments held by money-holding sectors that are widely accepted in an economy as a medium of exchange plus those that can be converted into a medium of exchange at short notice at, or close to, their full nominal value.",IMF
N/A,Budgetary central government,"Part of the central government, which encompasses the fundamental activities of the national executive, legislative, and judiciary powers.",IMF
N/A,Buildings other than dwellings,"Whole buildings or parts of buildings not designated as dwellings (also known as residential buildings). Fixtures, facilities, and equipment that are integral parts of the structures are included.",IMF
N/A,Business travel (relevant for BPM),Goods and services acquired for personal use by persons whose primary purpose of travel is for business.,IMF
N/A,Capital account,"Account that records acquisitions and disposals of nonfinancial assets as a result of transactions with other units, internal bookkeeping transactions linked to production (such as changes in inventories, depreciation, and depletion), and the redistribution of wealth by means of capital transfers. In the context of external accounts, the capital account shows (i) capital transfers receivable and payable between residents and nonresidents and (ii) the acquisition and disposal of nonproduced nonfinancial assets between residents and nonresidents.",IMF
N/A,Capital account balance (relevant for BPM),The difference between the sum of disposals of nonproduced nonfinancial assets and capital transfers receivable and the sum of acquisitions of nonproduced nonfinancial assets and capital transfers payable.,IMF
N/A,Capital grants (relevant for GFS),"Capital transfers receivable by government units, from other resident or nonresident government units or international organizations, and that do not meet the definition of a tax, subsidy, or a social contribution.",IMF
N/A,Capital levies,"Taxes on the values of the assets or net worth owned by institutional units levied at irregular, and very infrequent, intervals of time.",IMF
N/A,Capital services,The sum of the net return to capital and depreciation (or depletion in the case of nonproduced natural resources).,IMF
N/A,Capital taxes,"Taxes charged at irregular and infrequent intervals on the values of the assets or net worth owned by institutional units or on the values of assets transferred between institutional units as a result of legacies, gifts inter vivos, or other transfers.",IMF
